GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,41,3,0,0,12,1,3,1,3,1
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,0,7,0,0,0,3,0,3,0,3
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,0,117,0,4,0,27,0,10,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,0,114,0,4,0,26,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,0,117,0,4,0,27,0,10,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,0,117,0,4,0,27,0,10,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,0,117,0,4,0,27,0,10,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,0,117,0,4,0,27,0,10,0,8
spring-boot-skeleton,com.nnk.springboot.config.security,WebMVCSecurity,0,112,0,0,0,34,0,6,0,6
spring-boot-skeleton,com.nnk.springboot.config.security,CustomAuthenticationSuccessHandler,51,51,6,2,16,11,7,2,3,2
spring-boot-skeleton,com.nnk.springboot.config.security,UserDetailsServiceImpl,5,49,0,2,1,6,1,2,1,1
spring-boot-skeleton,com.nnk.springboot.service,TradeService,0,120,0,2,0,17,0,9,0,8
spring-boot-skeleton,com.nnk.springboot.service,RuleNameService,0,120,0,2,0,17,0,9,0,8
spring-boot-skeleton,com.nnk.springboot.service,RatingService,0,120,0,2,0,17,0,9,0,8
spring-boot-skeleton,com.nnk.springboot.service,BidListService,0,120,0,2,0,17,0,9,0,8
spring-boot-skeleton,com.nnk.springboot.service,CurvePointService,0,120,0,2,0,17,0,9,0,8
spring-boot-skeleton,com.nnk.springboot.service,UserService,0,173,0,4,0,25,0,11,0,9
spring-boot-skeleton,com.nnk.springboot.config,PasswordValidator,0,16,0,0,0,6,0,3,0,3
spring-boot-skeleton,com.nnk.springboot.domain.entity,BidList,0,81,0,6,0,26,0,7,0,4
spring-boot-skeleton,com.nnk.springboot.domain.entity,CurvePoint,0,97,0,10,0,30,0,9,0,4
spring-boot-skeleton,com.nnk.springboot.domain.entity,UserEntity,0,44,1,1,0,11,1,2,0,2
spring-boot-skeleton,com.nnk.springboot.domain.entity,Rating,0,61,0,2,0,19,0,4,0,3
spring-boot-skeleton,com.nnk.springboot.domain.entity,RuleName,0,83,0,2,0,25,0,4,0,3
spring-boot-skeleton,com.nnk.springboot.domain.entity,Trade,0,83,0,6,0,26,0,7,0,4
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot.domain.dto,UserDto,0,19,0,0,0,6,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.domain.dto,BidListDto,0,19,0,0,0,6,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.domain.dto,RatingDto,0,23,0,0,0,7,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.domain.dto,CurvePointDto,0,19,0,0,0,6,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.domain.dto,RuleNameDto,0,31,0,0,0,9,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.domain.dto,TradeDto,0,19,0,0,0,6,0,1,0,1
